類別：所有類別

天,類比科: (台灣)
2023-10-06,30
2023-10-07,63
2023-10-08,0
2023-10-09,0
2023-10-10,100
2023-10-11,0
2023-10-12,55
2023-10-13,61
2023-10-14,0
2023-10-15,0
2023-10-16,29
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,0
2023-10-23,0
2023-10-24,36
2023-10-25,0
2023-10-26,26
2023-10-27,68
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,42
2023-11-01,78
2023-11-02,58
