類別：所有類別

天,國巨: (台灣)
2023-10-05,52
2023-10-06,58
2023-10-07,24
2023-10-08,13
2023-10-09,10
2023-10-10,19
2023-10-11,37
2023-10-12,64
2023-10-13,21
2023-10-14,23
2023-10-15,22
2023-10-16,44
2023-10-17,100
2023-10-18,76
2023-10-19,69
2023-10-20,73
2023-10-21,13
2023-10-22,15
2023-10-23,75
2023-10-24,30
2023-10-25,54
2023-10-26,97
2023-10-27,85
2023-10-28,0
2023-10-29,29
2023-10-30,0
2023-10-31,53
2023-11-01,56
