類別：所有類別

天,閎康: (台灣)
2023-10-06,27
2023-10-07,0
2023-10-08,54
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,20
2023-10-15,0
2023-10-16,24
2023-10-17,33
2023-10-18,26
2023-10-19,24
2023-10-20,28
2023-10-21,59
2023-10-22,38
2023-10-23,40
2023-10-24,55
2023-10-25,0
2023-10-26,37
2023-10-27,34
2023-10-28,0
2023-10-29,100
2023-10-30,0
2023-10-31,21
2023-11-01,53
2023-11-02,27
