類別：所有類別

天,根基: (台灣)
2023-10-05,0
2023-10-06,32
2023-10-07,0
2023-10-08,21
2023-10-09,0
2023-10-10,98
2023-10-11,0
2023-10-12,0
2023-10-13,54
2023-10-14,18
2023-10-15,0
2023-10-16,0
2023-10-17,60
2023-10-18,21
2023-10-19,57
2023-10-20,0
2023-10-21,24
2023-10-22,100
2023-10-23,0
2023-10-24,25
2023-10-25,0
2023-10-26,0
2023-10-27,16
2023-10-28,30
2023-10-29,39
2023-10-30,0
2023-10-31,0
2023-11-01,0
