類別：所有類別

天,遠百: (台灣)
2023-10-05,82
2023-10-06,64
2023-10-07,97
2023-10-08,100
2023-10-09,99
2023-10-10,77
2023-10-11,46
2023-10-12,41
2023-10-13,55
2023-10-14,86
2023-10-15,74
2023-10-16,42
2023-10-17,44
2023-10-18,43
2023-10-19,57
2023-10-20,58
2023-10-21,80
2023-10-22,78
2023-10-23,52
2023-10-24,40
2023-10-25,45
2023-10-26,43
2023-10-27,45
2023-10-28,70
2023-10-29,58
2023-10-30,0
2023-10-31,38
2023-11-01,42
