類別：所有類別

天,華豐: (台灣)
2023-10-05,43
2023-10-06,63
2023-10-07,83
2023-10-08,35
2023-10-09,31
2023-10-10,34
2023-10-11,100
2023-10-12,99
2023-10-13,53
2023-10-14,78
2023-10-15,51
2023-10-16,66
2023-10-17,88
2023-10-18,53
2023-10-19,93
2023-10-20,73
2023-10-21,26
2023-10-22,40
2023-10-23,72
2023-10-24,47
2023-10-25,66
2023-10-26,79
2023-10-27,74
2023-10-28,42
2023-10-29,56
2023-10-30,0
2023-10-31,59
2023-11-01,59
