類別：所有類別

天,台名: (台灣)
2023-10-07,51
2023-10-08,48
2023-10-09,24
2023-10-10,47
2023-10-11,24
2023-10-12,65
2023-10-13,52
2023-10-14,47
2023-10-15,65
2023-10-16,43
2023-10-17,60
2023-10-18,49
2023-10-19,68
2023-10-20,37
2023-10-21,66
2023-10-22,43
2023-10-23,34
2023-10-24,0
2023-10-25,100
2023-10-26,60
2023-10-27,56
2023-10-28,48
2023-10-29,39
2023-10-30,0
2023-10-31,38
2023-11-01,15
2023-11-02,17
2023-11-03,56
