類別：所有類別

天,永豐餘: (台灣)
2023-10-05,100
2023-10-06,42
2023-10-07,0
2023-10-08,47
2023-10-09,28
2023-10-10,0
2023-10-11,94
2023-10-12,55
2023-10-13,0
2023-10-14,61
2023-10-15,31
2023-10-16,49
2023-10-17,60
2023-10-18,41
2023-10-19,56
2023-10-20,41
2023-10-21,40
2023-10-22,23
2023-10-23,0
2023-10-24,84
2023-10-25,52
2023-10-26,79
2023-10-27,87
2023-10-28,46
2023-10-29,54
2023-10-30,0
2023-10-31,30
2023-11-01,76
