類別：所有類別

天,佳邦: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,73
2023-10-13,89
2023-10-14,0
2023-10-15,0
2023-10-16,52
2023-10-17,69
2023-10-18,100
2023-10-19,66
2023-10-20,93
2023-10-21,0
2023-10-22,0
2023-10-23,77
2023-10-24,24
2023-10-25,33
2023-10-26,0
2023-10-27,75
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,50
2023-11-01,77
2023-11-02,53
2023-11-03,90
