類別：所有類別

天,華航: (台灣)
2023-10-05,10
2023-10-06,13
2023-10-07,8
2023-10-08,7
2023-10-09,6
2023-10-10,7
2023-10-11,11
2023-10-12,9
2023-10-13,10
2023-10-14,5
2023-10-15,7
2023-10-16,12
2023-10-17,11
2023-10-18,9
2023-10-19,10
2023-10-20,10
2023-10-21,6
2023-10-22,7
2023-10-23,9
2023-10-24,9
2023-10-25,8
2023-10-26,9
2023-10-27,8
2023-10-28,6
2023-10-29,7
2023-10-30,100
2023-10-31,10
2023-11-01,10
