類別：所有類別

天,立康: (台灣)
2023-10-07,43
2023-10-08,56
2023-10-09,58
2023-10-10,37
2023-10-11,23
2023-10-12,63
2023-10-13,33
2023-10-14,71
2023-10-15,27
2023-10-16,47
2023-10-17,82
2023-10-18,100
2023-10-19,38
2023-10-20,48
2023-10-21,36
2023-10-22,37
2023-10-23,48
2023-10-24,35
2023-10-25,46
2023-10-26,37
2023-10-27,52
2023-10-28,26
2023-10-29,33
2023-10-30,0
2023-10-31,36
2023-11-01,67
2023-11-02,60
2023-11-03,48
