類別：所有類別

天,建準: (台灣)
2023-10-05,44
2023-10-06,85
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,100
2023-10-12,16
2023-10-13,40
2023-10-14,35
2023-10-15,14
2023-10-16,27
2023-10-17,56
2023-10-18,58
2023-10-19,70
2023-10-20,48
2023-10-21,12
2023-10-22,0
2023-10-23,62
2023-10-24,47
2023-10-25,90
2023-10-26,54
2023-10-27,50
2023-10-28,0
2023-10-29,27
2023-10-30,0
2023-10-31,32
2023-11-01,25
