類別：所有類別

天,訊達: (台灣)
2023-10-07,74
2023-10-08,0
2023-10-09,0
2023-10-10,33
2023-10-11,100
2023-10-12,0
2023-10-13,58
2023-10-14,0
2023-10-15,0
2023-10-16,73
2023-10-17,56
2023-10-18,59
2023-10-19,0
2023-10-20,51
2023-10-21,0
2023-10-22,0
2023-10-23,50
2023-10-24,0
2023-10-25,62
2023-10-26,27
2023-10-27,88
2023-10-28,0
2023-10-29,37
2023-10-30,0
2023-10-31,93
2023-11-01,39
2023-11-02,29
2023-11-03,40
