類別：所有類別

天,撼訊: (台灣)
2023-10-07,23
2023-10-08,21
2023-10-09,0
2023-10-10,29
2023-10-11,26
2023-10-12,59
2023-10-13,0
2023-10-14,36
2023-10-15,0
2023-10-16,0
2023-10-17,32
2023-10-18,81
2023-10-19,57
2023-10-20,0
2023-10-21,29
2023-10-22,22
2023-10-23,93
2023-10-24,58
2023-10-25,18
2023-10-26,72
2023-10-27,42
2023-10-28,0
2023-10-29,28
2023-10-30,0
2023-10-31,56
2023-11-01,40
2023-11-02,43
2023-11-03,100
