類別：所有類別

天,台化: (台灣)
2023-10-04,70
2023-10-05,63
2023-10-06,58
2023-10-07,43
2023-10-08,12
2023-10-09,15
2023-10-10,17
2023-10-11,87
2023-10-12,85
2023-10-13,80
2023-10-14,21
2023-10-15,20
2023-10-16,82
2023-10-17,54
2023-10-18,100
2023-10-19,86
2023-10-20,66
2023-10-21,51
2023-10-22,10
2023-10-23,86
2023-10-24,60
2023-10-25,73
2023-10-26,48
2023-10-27,50
2023-10-28,50
2023-10-29,50
2023-10-30,0
2023-10-31,73
