類別：所有類別

天,宏盛: (台灣)
2023-10-05,0
2023-10-06,62
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,38
2023-10-11,41
2023-10-12,46
2023-10-13,70
2023-10-14,38
2023-10-15,0
2023-10-16,79
2023-10-17,72
2023-10-18,24
2023-10-19,46
2023-10-20,37
2023-10-21,54
2023-10-22,65
2023-10-23,29
2023-10-24,33
2023-10-25,100
2023-10-26,23
2023-10-27,66
2023-10-28,0
2023-10-29,43
2023-10-30,0
2023-10-31,70
2023-11-01,81
