類別：所有類別

天,志聖: (台灣)
2023-10-05,0
2023-10-06,35
2023-10-07,42
2023-10-08,0
2023-10-09,0
2023-10-10,61
2023-10-11,44
2023-10-12,54
2023-10-13,54
2023-10-14,42
2023-10-15,31
2023-10-16,64
2023-10-17,63
2023-10-18,0
2023-10-19,40
2023-10-20,46
2023-10-21,0
2023-10-22,44
2023-10-23,0
2023-10-24,47
2023-10-25,70
2023-10-26,46
2023-10-27,29
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,47
2023-11-01,100
