類別：所有類別

天,華固: (台灣)
2023-10-05,19
2023-10-06,36
2023-10-07,30
2023-10-08,50
2023-10-09,45
2023-10-10,89
2023-10-11,62
2023-10-12,56
2023-10-13,65
2023-10-14,41
2023-10-15,31
2023-10-16,31
2023-10-17,100
2023-10-18,35
2023-10-19,49
2023-10-20,65
2023-10-21,15
2023-10-22,34
2023-10-23,52
2023-10-24,43
2023-10-25,51
2023-10-26,31
2023-10-27,56
2023-10-28,0
2023-10-29,27
2023-10-30,0
2023-10-31,22
2023-11-01,58
