類別：所有類別

天,合庫金: (台灣)
2023-10-07,0
2023-10-08,26
2023-10-09,29
2023-10-10,22
2023-10-11,73
2023-10-12,77
2023-10-13,84
2023-10-14,11
2023-10-15,0
2023-10-16,65
2023-10-17,57
2023-10-18,59
2023-10-19,94
2023-10-20,52
2023-10-21,0
2023-10-22,23
2023-10-23,88
2023-10-24,77
2023-10-25,65
2023-10-26,78
2023-10-27,100
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,64
2023-11-01,54
2023-11-02,68
2023-11-03,80
