類別：所有類別

天,泰山: (台灣)
2023-10-04,68
2023-10-05,83
2023-10-06,79
2023-10-07,96
2023-10-08,75
2023-10-09,79
2023-10-10,86
2023-10-11,83
2023-10-12,74
2023-10-13,88
2023-10-14,87
2023-10-15,67
2023-10-16,91
2023-10-17,68
2023-10-18,84
2023-10-19,90
2023-10-20,77
2023-10-21,80
2023-10-22,68
2023-10-23,71
2023-10-24,71
2023-10-25,71
2023-10-26,74
2023-10-27,84
2023-10-28,100
2023-10-29,98
2023-10-30,0
2023-10-31,98
