類別：所有類別

天,豐興: (台灣)
2023-10-05,75
2023-10-06,69
2023-10-07,47
2023-10-08,17
2023-10-09,54
2023-10-10,62
2023-10-11,91
2023-10-12,95
2023-10-13,65
2023-10-14,53
2023-10-15,51
2023-10-16,94
2023-10-17,100
2023-10-18,62
2023-10-19,84
2023-10-20,50
2023-10-21,51
2023-10-22,60
2023-10-23,98
2023-10-24,68
2023-10-25,91
2023-10-26,90
2023-10-27,63
2023-10-28,53
2023-10-29,76
2023-10-30,0
2023-10-31,70
2023-11-01,81
