類別：所有類別

天,富野: (台灣)
2023-10-05,41
2023-10-06,41
2023-10-07,29
2023-10-08,33
2023-10-09,17
2023-10-10,27
2023-10-11,44
2023-10-12,34
2023-10-13,47
2023-10-14,49
2023-10-15,32
2023-10-16,37
2023-10-17,25
2023-10-18,23
2023-10-19,55
2023-10-20,64
2023-10-21,92
2023-10-22,68
2023-10-23,62
2023-10-24,52
2023-10-25,70
2023-10-26,75
2023-10-27,100
2023-10-28,71
2023-10-29,62
2023-10-30,0
2023-10-31,57
2023-11-01,94
