類別：所有類別

天,富宇: (台灣)
2023-10-06,71
2023-10-07,45
2023-10-08,56
2023-10-09,56
2023-10-10,94
2023-10-11,71
2023-10-12,83
2023-10-13,81
2023-10-14,63
2023-10-15,63
2023-10-16,74
2023-10-17,77
2023-10-18,77
2023-10-19,48
2023-10-20,100
2023-10-21,87
2023-10-22,72
2023-10-23,84
2023-10-24,65
2023-10-25,73
2023-10-26,93
2023-10-27,69
2023-10-28,89
2023-10-29,90
2023-10-30,0
2023-10-31,97
2023-11-01,49
2023-11-02,74
