類別：所有類別

天,中信金: (台灣)
2023-10-05,65
2023-10-06,75
2023-10-07,39
2023-10-08,21
2023-10-09,5
2023-10-10,16
2023-10-11,94
2023-10-12,73
2023-10-13,67
2023-10-14,6
2023-10-15,11
2023-10-16,78
2023-10-17,70
2023-10-18,63
2023-10-19,60
2023-10-20,68
2023-10-21,21
2023-10-22,27
2023-10-23,81
2023-10-24,71
2023-10-25,82
2023-10-26,100
2023-10-27,68
2023-10-28,12
2023-10-29,6
2023-10-30,0
2023-10-31,54
2023-11-01,77
