類別：所有類別

天,聯嘉: (台灣)
2023-10-07,57
2023-10-08,21
2023-10-09,10
2023-10-10,27
2023-10-11,100
2023-10-12,16
2023-10-13,50
2023-10-14,0
2023-10-15,20
2023-10-16,86
2023-10-17,54
2023-10-18,60
2023-10-19,51
2023-10-20,61
2023-10-21,40
2023-10-22,0
2023-10-23,74
2023-10-24,46
2023-10-25,12
2023-10-26,26
2023-10-27,32
2023-10-28,0
2023-10-29,13
2023-10-30,0
2023-10-31,66
2023-11-01,46
2023-11-02,28
2023-11-03,40
