類別：所有類別

天,大山: (台灣)
2023-10-05,92
2023-10-06,82
2023-10-07,71
2023-10-08,74
2023-10-09,79
2023-10-10,71
2023-10-11,96
2023-10-12,62
2023-10-13,68
2023-10-14,77
2023-10-15,85
2023-10-16,54
2023-10-17,100
2023-10-18,82
2023-10-19,81
2023-10-20,79
2023-10-21,84
2023-10-22,65
2023-10-23,97
2023-10-24,61
2023-10-25,89
2023-10-26,88
2023-10-27,56
2023-10-28,98
2023-10-29,89
2023-10-30,0
2023-10-31,90
2023-11-01,87
