類別：所有類別

天,金寶: (台灣)
2023-10-05,46
2023-10-06,98
2023-10-07,40
2023-10-08,57
2023-10-09,49
2023-10-10,46
2023-10-11,63
2023-10-12,71
2023-10-13,60
2023-10-14,28
2023-10-15,33
2023-10-16,50
2023-10-17,50
2023-10-18,55
2023-10-19,44
2023-10-20,69
2023-10-21,29
2023-10-22,30
2023-10-23,49
2023-10-24,53
2023-10-25,100
2023-10-26,100
2023-10-27,59
2023-10-28,28
2023-10-29,31
2023-10-30,0
2023-10-31,55
2023-11-01,67
