類別：所有類別

天,華映: (台灣)
2023-10-05,0
2023-10-06,55
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,87
2023-10-14,100
2023-10-15,0
2023-10-16,0
2023-10-17,49
2023-10-18,44
2023-10-19,0
2023-10-20,47
2023-10-21,84
2023-10-22,50
2023-10-23,0
2023-10-24,0
2023-10-25,94
2023-10-26,0
2023-10-27,41
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,0
