類別：所有類別

天,崇友: (台灣)
2023-10-06,0
2023-10-07,0
2023-10-08,0
2023-10-09,46
2023-10-10,39
2023-10-11,85
2023-10-12,37
2023-10-13,84
2023-10-14,0
2023-10-15,51
2023-10-16,53
2023-10-17,0
2023-10-18,0
2023-10-19,0
2023-10-20,77
2023-10-21,0
2023-10-22,55
2023-10-23,100
2023-10-24,0
2023-10-25,0
2023-10-26,0
2023-10-27,45
2023-10-28,54
2023-10-29,0
2023-10-30,0
2023-10-31,36
2023-11-01,0
2023-11-02,0
