類別：所有類別

天,晶達: (台灣)
2023-10-06,50
2023-10-07,11
2023-10-08,46
2023-10-09,0
2023-10-10,16
2023-10-11,47
2023-10-12,29
2023-10-13,100
2023-10-14,18
2023-10-15,0
2023-10-16,74
2023-10-17,55
2023-10-18,45
2023-10-19,80
2023-10-20,64
2023-10-21,0
2023-10-22,0
2023-10-23,36
2023-10-24,55
2023-10-25,50
2023-10-26,66
2023-10-27,58
2023-10-28,0
2023-10-29,24
2023-10-30,0
2023-10-31,60
2023-11-01,50
2023-11-02,67
