類別：所有類別

天,華通: (台灣)
2023-10-05,74
2023-10-06,62
2023-10-07,23
2023-10-08,25
2023-10-09,20
2023-10-10,22
2023-10-11,71
2023-10-12,68
2023-10-13,75
2023-10-14,21
2023-10-15,35
2023-10-16,100
2023-10-17,77
2023-10-18,81
2023-10-19,68
2023-10-20,68
2023-10-21,32
2023-10-22,23
2023-10-23,71
2023-10-24,69
2023-10-25,59
2023-10-26,75
2023-10-27,56
2023-10-28,25
2023-10-29,25
2023-10-30,0
2023-10-31,54
2023-11-01,51
