類別：所有類別

天,國碩: (台灣)
2023-10-05,42
2023-10-06,0
2023-10-07,43
2023-10-08,0
2023-10-09,24
2023-10-10,0
2023-10-11,0
2023-10-12,56
2023-10-13,34
2023-10-14,0
2023-10-15,0
2023-10-16,55
2023-10-17,68
2023-10-18,90
2023-10-19,0
2023-10-20,0
2023-10-21,0
2023-10-22,61
2023-10-23,34
2023-10-24,100
2023-10-25,36
2023-10-26,56
2023-10-27,38
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,69
2023-11-01,28
