類別：所有類別

天,南紡: (台灣)
2023-10-04,1
2023-10-05,4
2023-10-06,3
2023-10-07,3
2023-10-08,5
2023-10-09,4
2023-10-10,3
2023-10-11,2
2023-10-12,2
2023-10-13,3
2023-10-14,3
2023-10-15,3
2023-10-16,2
2023-10-17,2
2023-10-18,2
2023-10-19,2
2023-10-20,3
2023-10-21,4
2023-10-22,3
2023-10-23,2
2023-10-24,2
2023-10-25,2
2023-10-26,2
2023-10-27,2
2023-10-28,3
2023-10-29,3
2023-10-30,100
2023-10-31,2
