類別：所有類別

天,廣豐: (台灣)
2023-10-04,31
2023-10-05,25
2023-10-06,94
2023-10-07,62
2023-10-08,52
2023-10-09,52
2023-10-10,54
2023-10-11,65
2023-10-12,38
2023-10-13,36
2023-10-14,100
2023-10-15,39
2023-10-16,32
2023-10-17,55
2023-10-18,0
2023-10-19,53
2023-10-20,65
2023-10-21,54
2023-10-22,58
2023-10-23,43
2023-10-24,42
2023-10-25,61
2023-10-26,57
2023-10-27,53
2023-10-28,0
2023-10-29,59
2023-10-30,0
2023-10-31,23
