類別：所有類別

天,長榮航: (台灣)
2023-10-05,100
2023-10-06,76
2023-10-07,34
2023-10-08,27
2023-10-09,26
2023-10-10,37
2023-10-11,87
2023-10-12,84
2023-10-13,66
2023-10-14,36
2023-10-15,31
2023-10-16,73
2023-10-17,89
2023-10-18,92
2023-10-19,83
2023-10-20,56
2023-10-21,33
2023-10-22,30
2023-10-23,83
2023-10-24,83
2023-10-25,67
2023-10-26,87
2023-10-27,86
2023-10-28,16
2023-10-29,27
2023-10-30,0
2023-10-31,69
2023-11-01,80
