類別：所有類別

天,三陽工業: (台灣)
2023-10-05,100
2023-10-06,61
2023-10-07,38
2023-10-08,0
2023-10-09,41
2023-10-10,25
2023-10-11,62
2023-10-12,45
2023-10-13,56
2023-10-14,33
2023-10-15,0
2023-10-16,81
2023-10-17,53
2023-10-18,59
2023-10-19,19
2023-10-20,92
2023-10-21,0
2023-10-22,25
2023-10-23,46
2023-10-24,43
2023-10-25,0
2023-10-26,33
2023-10-27,51
2023-10-28,22
2023-10-29,0
2023-10-30,0
2023-10-31,40
2023-11-01,60
