類別：所有類別

天,旭品: (台灣)
2023-10-06,65
2023-10-07,39
2023-10-08,33
2023-10-09,0
2023-10-10,56
2023-10-11,80
2023-10-12,100
2023-10-13,0
2023-10-14,0
2023-10-15,31
2023-10-16,51
2023-10-17,90
2023-10-18,52
2023-10-19,23
2023-10-20,26
2023-10-21,0
2023-10-22,0
2023-10-23,21
2023-10-24,69
2023-10-25,19
2023-10-26,81
2023-10-27,37
2023-10-28,23
2023-10-29,0
2023-10-30,0
2023-10-31,33
2023-11-01,36
2023-11-02,53
