類別：所有類別

天,環球晶: (台灣)
2023-10-07,23
2023-10-08,26
2023-10-09,26
2023-10-10,12
2023-10-11,35
2023-10-12,17
2023-10-13,53
2023-10-14,0
2023-10-15,14
2023-10-16,23
2023-10-17,40
2023-10-18,26
2023-10-19,28
2023-10-20,19
2023-10-21,0
2023-10-22,24
2023-10-23,13
2023-10-24,37
2023-10-25,17
2023-10-26,26
2023-10-27,60
2023-10-28,10
2023-10-29,0
2023-10-30,0
2023-10-31,12
2023-11-01,100
2023-11-02,29
2023-11-03,60
