類別：所有類別

天,中美晶: (台灣)
2023-10-06,40
2023-10-07,13
2023-10-08,30
2023-10-09,0
2023-10-10,0
2023-10-11,40
2023-10-12,29
2023-10-13,49
2023-10-14,0
2023-10-15,0
2023-10-16,57
2023-10-17,54
2023-10-18,46
2023-10-19,33
2023-10-20,28
2023-10-21,13
2023-10-22,0
2023-10-23,39
2023-10-24,24
2023-10-25,33
2023-10-26,29
2023-10-27,50
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,61
2023-11-01,100
2023-11-02,85
