類別：所有類別

天,元大金: (台灣)
2023-10-05,53
2023-10-06,92
2023-10-07,38
2023-10-08,16
2023-10-09,14
2023-10-10,9
2023-10-11,98
2023-10-12,100
2023-10-13,70
2023-10-14,34
2023-10-15,22
2023-10-16,76
2023-10-17,83
2023-10-18,48
2023-10-19,55
2023-10-20,72
2023-10-21,22
2023-10-22,44
2023-10-23,63
2023-10-24,51
2023-10-25,56
2023-10-26,79
2023-10-27,46
2023-10-28,20
2023-10-29,16
2023-10-30,0
2023-10-31,56
2023-11-01,84
