類別：所有類別

天,矽格: (台灣)
2023-10-07,0
2023-10-08,13
2023-10-09,0
2023-10-10,0
2023-10-11,35
2023-10-12,13
2023-10-13,76
2023-10-14,36
2023-10-15,37
2023-10-16,73
2023-10-17,71
2023-10-18,30
2023-10-19,100
2023-10-20,36
2023-10-21,38
2023-10-22,33
2023-10-23,70
2023-10-24,67
2023-10-25,96
2023-10-26,72
2023-10-27,80
2023-10-28,0
2023-10-29,15
2023-10-30,0
2023-10-31,60
2023-11-01,63
2023-11-02,57
2023-11-03,100
