類別：所有類別

天,台星科: (台灣)
2023-10-06,67
2023-10-07,0
2023-10-08,23
2023-10-09,42
2023-10-10,0
2023-10-11,28
2023-10-12,86
2023-10-13,44
2023-10-14,58
2023-10-15,0
2023-10-16,100
2023-10-17,0
2023-10-18,40
2023-10-19,0
2023-10-20,44
2023-10-21,0
2023-10-22,27
2023-10-23,55
2023-10-24,71
2023-10-25,44
2023-10-26,54
2023-10-27,39
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,75
2023-11-01,29
2023-11-02,22
