類別：所有類別

天,百德: (台灣)
2023-10-06,57
2023-10-07,71
2023-10-08,84
2023-10-09,37
2023-10-10,20
2023-10-11,34
2023-10-12,63
2023-10-13,33
2023-10-14,0
2023-10-15,0
2023-10-16,49
2023-10-17,29
2023-10-18,49
2023-10-19,88
2023-10-20,86
2023-10-21,56
2023-10-22,35
2023-10-23,64
2023-10-24,38
2023-10-25,45
2023-10-26,39
2023-10-27,83
2023-10-28,62
2023-10-29,100
2023-10-30,0
2023-10-31,41
2023-11-01,61
2023-11-02,78
