類別：所有類別

天,宏達電: (台灣)
2023-10-05,53
2023-10-06,91
2023-10-07,8
2023-10-08,21
2023-10-09,20
2023-10-10,18
2023-10-11,100
2023-10-12,51
2023-10-13,52
2023-10-14,27
2023-10-15,0
2023-10-16,50
2023-10-17,97
2023-10-18,93
2023-10-19,83
2023-10-20,61
2023-10-21,40
2023-10-22,0
2023-10-23,69
2023-10-24,60
2023-10-25,65
2023-10-26,65
2023-10-27,91
2023-10-28,35
2023-10-29,20
2023-10-30,0
2023-10-31,55
2023-11-01,65
