類別：所有類別

天,台光電: (台灣)
2023-10-05,38
2023-10-06,48
2023-10-07,0
2023-10-08,0
2023-10-09,0
2023-10-10,14
2023-10-11,24
2023-10-12,20
2023-10-13,95
2023-10-14,0
2023-10-15,25
2023-10-16,51
2023-10-17,71
2023-10-18,51
2023-10-19,52
2023-10-20,34
2023-10-21,0
2023-10-22,0
2023-10-23,43
2023-10-24,20
2023-10-25,92
2023-10-26,99
2023-10-27,67
2023-10-28,12
2023-10-29,17
2023-10-30,0
2023-10-31,100
2023-11-01,84
