類別：所有類別

天,榮成: (台灣)
2023-10-05,32
2023-10-06,26
2023-10-07,27
2023-10-08,36
2023-10-09,35
2023-10-10,0
2023-10-11,100
2023-10-12,63
2023-10-13,53
2023-10-14,28
2023-10-15,0
2023-10-16,37
2023-10-17,60
2023-10-18,25
2023-10-19,40
2023-10-20,56
2023-10-21,0
2023-10-22,41
2023-10-23,28
2023-10-24,45
2023-10-25,0
2023-10-26,21
2023-10-27,42
2023-10-28,0
2023-10-29,20
2023-10-30,0
2023-10-31,58
2023-11-01,39
