類別：所有類別

天,光寶科: (台灣)
2023-10-05,36
2023-10-06,79
2023-10-07,12
2023-10-08,11
2023-10-09,0
2023-10-10,0
2023-10-11,54
2023-10-12,68
2023-10-13,60
2023-10-14,7
2023-10-15,18
2023-10-16,92
2023-10-17,90
2023-10-18,82
2023-10-19,75
2023-10-20,90
2023-10-21,0
2023-10-22,18
2023-10-23,51
2023-10-24,67
2023-10-25,78
2023-10-26,57
2023-10-27,65
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,100
2023-11-01,80
