類別：所有類別

天,同泰: (台灣)
2023-10-06,33
2023-10-07,78
2023-10-08,0
2023-10-09,0
2023-10-10,0
2023-10-11,100
2023-10-12,99
2023-10-13,0
2023-10-14,45
2023-10-15,33
2023-10-16,0
2023-10-17,72
2023-10-18,49
2023-10-19,68
2023-10-20,83
2023-10-21,0
2023-10-22,0
2023-10-23,51
2023-10-24,70
2023-10-25,48
2023-10-26,0
2023-10-27,68
2023-10-28,68
2023-10-29,0
2023-10-30,0
2023-10-31,71
2023-11-01,36
2023-11-02,69
