類別：所有類別

天,長榮鋼: (台灣)
2023-10-05,79
2023-10-06,53
2023-10-07,0
2023-10-08,23
2023-10-09,0
2023-10-10,0
2023-10-11,67
2023-10-12,72
2023-10-13,100
2023-10-14,0
2023-10-15,0
2023-10-16,65
2023-10-17,35
2023-10-18,87
2023-10-19,80
2023-10-20,57
2023-10-21,0
2023-10-22,33
2023-10-23,86
2023-10-24,71
2023-10-25,87
2023-10-26,98
2023-10-27,49
2023-10-28,40
2023-10-29,34
2023-10-30,0
2023-10-31,79
2023-11-01,73
