類別：所有類別

天,鴻海: (台灣)
2023-10-05,37
2023-10-06,40
2023-10-07,9
2023-10-08,13
2023-10-09,12
2023-10-10,12
2023-10-11,40
2023-10-12,38
2023-10-13,42
2023-10-14,14
2023-10-15,18
2023-10-16,41
2023-10-17,48
2023-10-18,62
2023-10-19,46
2023-10-20,40
2023-10-21,12
2023-10-22,18
2023-10-23,77
2023-10-24,100
2023-10-25,79
2023-10-26,71
2023-10-27,63
2023-10-28,19
2023-10-29,13
2023-10-30,0
2023-10-31,89
2023-11-01,73
