類別：所有類別

天,智邦: (台灣)
2023-10-05,76
2023-10-06,71
2023-10-07,24
2023-10-08,24
2023-10-09,32
2023-10-10,12
2023-10-11,77
2023-10-12,86
2023-10-13,92
2023-10-14,15
2023-10-15,46
2023-10-16,67
2023-10-17,38
2023-10-18,67
2023-10-19,78
2023-10-20,90
2023-10-21,18
2023-10-22,35
2023-10-23,74
2023-10-24,72
2023-10-25,100
2023-10-26,74
2023-10-27,80
2023-10-28,27
2023-10-29,23
2023-10-30,0
2023-10-31,61
2023-11-01,57
