類別：所有類別

天,敦泰: (台灣)
2023-10-06,52
2023-10-07,14
2023-10-08,0
2023-10-09,30
2023-10-10,0
2023-10-11,58
2023-10-12,0
2023-10-13,29
2023-10-14,0
2023-10-15,0
2023-10-16,36
2023-10-17,100
2023-10-18,70
2023-10-19,59
2023-10-20,49
2023-10-21,58
2023-10-22,0
2023-10-23,93
2023-10-24,37
2023-10-25,0
2023-10-26,40
2023-10-27,31
2023-10-28,65
2023-10-29,0
2023-10-30,0
2023-10-31,69
2023-11-01,61
2023-11-02,59
