類別：所有類別

天,大量: (台灣)
2023-10-05,81
2023-10-06,65
2023-10-07,77
2023-10-08,86
2023-10-09,38
2023-10-10,48
2023-10-11,69
2023-10-12,67
2023-10-13,68
2023-10-14,65
2023-10-15,81
2023-10-16,77
2023-10-17,61
2023-10-18,91
2023-10-19,80
2023-10-20,62
2023-10-21,73
2023-10-22,72
2023-10-23,100
2023-10-24,66
2023-10-25,88
2023-10-26,85
2023-10-27,76
2023-10-28,53
2023-10-29,87
2023-10-30,0
2023-10-31,76
2023-11-01,85
