類別：所有類別

天,環電: (台灣)
2023-10-05,0
2023-10-06,<1
2023-10-07,0
2023-10-08,<1
2023-10-09,<1
2023-10-10,0
2023-10-11,0
2023-10-12,0
2023-10-13,0
2023-10-14,<1
2023-10-15,<1
2023-10-16,0
2023-10-17,<1
2023-10-18,0
2023-10-19,<1
2023-10-20,<1
2023-10-21,<1
2023-10-22,<1
2023-10-23,<1
2023-10-24,<1
2023-10-25,<1
2023-10-26,0
2023-10-27,<1
2023-10-28,<1
2023-10-29,<1
2023-10-30,100
2023-10-31,<1
2023-11-01,<1
