類別：所有類別

天,統新: (台灣)
2023-10-07,36
2023-10-08,17
2023-10-09,35
2023-10-10,0
2023-10-11,57
2023-10-12,84
2023-10-13,70
2023-10-14,51
2023-10-15,17
2023-10-16,26
2023-10-17,76
2023-10-18,58
2023-10-19,52
2023-10-20,35
2023-10-21,0
2023-10-22,59
2023-10-23,71
2023-10-24,100
2023-10-25,95
2023-10-26,59
2023-10-27,32
2023-10-28,45
2023-10-29,15
2023-10-30,0
2023-10-31,32
2023-11-01,61
2023-11-02,58
2023-11-03,51
