類別：所有類別

天,中華食: (台灣)
2023-10-06,45
2023-10-07,0
2023-10-08,31
2023-10-09,0
2023-10-10,0
2023-10-11,50
2023-10-12,50
2023-10-13,67
2023-10-14,21
2023-10-15,0
2023-10-16,0
2023-10-17,100
2023-10-18,21
2023-10-19,21
2023-10-20,20
2023-10-21,42
2023-10-22,43
2023-10-23,0
2023-10-24,0
2023-10-25,28
2023-10-26,24
2023-10-27,33
2023-10-28,59
2023-10-29,0
2023-10-30,0
2023-10-31,29
2023-11-01,26
2023-11-02,39
