類別：所有類別

天,微星: (台灣)
2023-10-05,46
2023-10-06,63
2023-10-07,79
2023-10-08,65
2023-10-09,71
2023-10-10,63
2023-10-11,79
2023-10-12,81
2023-10-13,70
2023-10-14,53
2023-10-15,60
2023-10-16,80
2023-10-17,77
2023-10-18,95
2023-10-19,50
2023-10-20,92
2023-10-21,56
2023-10-22,65
2023-10-23,59
2023-10-24,96
2023-10-25,55
2023-10-26,79
2023-10-27,84
2023-10-28,46
2023-10-29,60
2023-10-30,0
2023-10-31,57
2023-11-01,100
