類別：所有類別

天,世豐: (台灣)
2023-10-05,0
2023-10-06,63
2023-10-07,19
2023-10-08,27
2023-10-09,38
2023-10-10,34
2023-10-11,66
2023-10-12,59
2023-10-13,100
2023-10-14,96
2023-10-15,29
2023-10-16,18
2023-10-17,82
2023-10-18,50
2023-10-19,49
2023-10-20,81
2023-10-21,35
2023-10-22,50
2023-10-23,69
2023-10-24,28
2023-10-25,0
2023-10-26,84
2023-10-27,55
2023-10-28,0
2023-10-29,0
2023-10-30,0
2023-10-31,80
2023-11-01,45
