類別：所有類別

天,國化: (台灣)
2023-10-05,0
2023-10-06,90
2023-10-07,15
2023-10-08,48
2023-10-09,22
2023-10-10,0
2023-10-11,27
2023-10-12,67
2023-10-13,68
2023-10-14,89
2023-10-15,21
2023-10-16,31
2023-10-17,100
2023-10-18,90
2023-10-19,51
2023-10-20,28
2023-10-21,30
2023-10-22,53
2023-10-23,59
2023-10-24,25
2023-10-25,22
2023-10-26,83
2023-10-27,59
2023-10-28,96
2023-10-29,56
2023-10-30,0
2023-10-31,64
2023-11-01,39
