類別：所有類別

天,群電: (台灣)
2023-10-07,0
2023-10-08,0
2023-10-09,37
2023-10-10,0
2023-10-11,55
2023-10-12,46
2023-10-13,49
2023-10-14,12
2023-10-15,50
2023-10-16,29
2023-10-17,56
2023-10-18,38
2023-10-19,34
2023-10-20,20
2023-10-21,0
2023-10-22,30
2023-10-23,38
2023-10-24,20
2023-10-25,47
2023-10-26,84
2023-10-27,38
2023-10-28,0
2023-10-29,26
2023-10-30,0
2023-10-31,42
2023-11-01,64
2023-11-02,100
2023-11-03,60
