類別：所有類別

天,超豐: (台灣)
2023-10-05,54
2023-10-06,92
2023-10-07,21
2023-10-08,20
2023-10-09,22
2023-10-10,71
2023-10-11,36
2023-10-12,47
2023-10-13,29
2023-10-14,100
2023-10-15,51
2023-10-16,70
2023-10-17,38
2023-10-18,80
2023-10-19,62
2023-10-20,85
2023-10-21,36
2023-10-22,19
2023-10-23,33
2023-10-24,86
2023-10-25,0
2023-10-26,65
2023-10-27,0
2023-10-28,0
2023-10-29,71
2023-10-30,0
2023-10-31,52
2023-11-01,69
