類別：所有類別

天,群創: (台灣)
2023-10-06,57
2023-10-07,23
2023-10-08,20
2023-10-09,28
2023-10-10,24
2023-10-11,94
2023-10-12,88
2023-10-13,68
2023-10-14,15
2023-10-15,21
2023-10-16,64
2023-10-17,59
2023-10-18,72
2023-10-19,73
2023-10-20,74
2023-10-21,26
2023-10-22,21
2023-10-23,73
2023-10-24,61
2023-10-25,97
2023-10-26,71
2023-10-27,83
2023-10-28,8
2023-10-29,26
2023-10-30,0
2023-10-31,83
2023-11-01,73
2023-11-02,100
