類別：所有類別

天,四維航: (台灣)
2023-10-06,74
2023-10-07,0
2023-10-08,34
2023-10-09,0
2023-10-10,44
2023-10-11,74
2023-10-12,100
2023-10-13,37
2023-10-14,30
2023-10-15,0
2023-10-16,69
2023-10-17,38
2023-10-18,37
2023-10-19,0
2023-10-20,25
2023-10-21,0
2023-10-22,100
2023-10-23,0
2023-10-24,70
2023-10-25,78
2023-10-26,53
2023-10-27,85
2023-10-28,28
2023-10-29,0
2023-10-30,0
2023-10-31,0
2023-11-01,29
2023-11-02,0
