類別：所有類別

天,營邦: (台灣)
2023-10-06,75
2023-10-07,20
2023-10-08,38
2023-10-09,31
2023-10-10,25
2023-10-11,99
2023-10-12,63
2023-10-13,38
2023-10-14,53
2023-10-15,0
2023-10-16,36
2023-10-17,75
2023-10-18,51
2023-10-19,74
2023-10-20,37
2023-10-21,19
2023-10-22,22
2023-10-23,39
2023-10-24,69
2023-10-25,100
2023-10-26,82
2023-10-27,19
2023-10-28,22
2023-10-29,42
2023-10-30,0
2023-10-31,89
2023-11-01,45
2023-11-02,56
